                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2928,                 4.0574,                  3.876,                0.00141,                0.66802,                0.00187,                0.00063,                 2.8697,                 57.349,                 3.5093,             0.00066424,             0.00066424,             0.00066424
                      1,                 2.8068,                 3.4958,                 3.2196,                0.06793,                0.06073,                0.01977,                0.00409,                 2.7817,                 5.5722,                 3.4414,              0.0013204,              0.0013204,              0.0013204
                      2,                 2.5111,                 3.2322,                  2.933,                0.07768,                0.12551,                0.02541,                0.00922,                 2.5764,                 5.8366,                 3.1574,              0.0019659,              0.0019659,              0.0019659
                      3,                 2.2806,                 3.0411,                 2.6816,                0.24533,                0.19433,                0.17523,                0.06413,                 2.4424,                 3.7096,                 2.9105,              0.0019525,              0.0019525,              0.0019525
                      4,                 2.1131,                 2.8476,                  2.529,                 0.4702,                0.22267,                0.24269,                0.09781,                 2.2226,                 3.0908,                 2.7627,              0.0019525,              0.0019525,              0.0019525
                      5,                 2.0063,                 2.6981,                 2.4003,                0.49123,                0.31579,                0.34249,                0.14339,                 2.0846,                 2.6219,                 2.5671,              0.0019366,              0.0019366,              0.0019366
                      6,                 1.9568,                 2.6218,                 2.3518,                0.68715,                 0.2915,                0.36142,                0.16258,                  2.148,                 3.1234,                 2.6491,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.8845,                 2.5343,                 2.2722,                0.59448,                0.36204,                0.39251,                0.19046,                 1.9881,                 2.6843,                  2.449,               0.001905,               0.001905,               0.001905
                      8,                 1.8569,                 2.5161,                 2.2494,                0.59923,                0.35716,                0.40129,                0.18787,                 2.0053,                 2.8088,                  2.522,              0.0018891,              0.0018891,              0.0018891
                      9,                 1.8197,                 2.4729,                 2.2129,                0.54469,                0.40486,                 0.4109,                0.20576,                 2.0662,                 2.3935,                 2.5805,              0.0018733,              0.0018733,              0.0018733
                     10,                 1.7819,                 2.3904,                  2.173,                 0.6349,                0.38057,                0.43663,                0.22757,                 1.8528,                 2.6085,                 2.3585,              0.0018574,              0.0018574,              0.0018574
                     11,                  1.748,                 2.3711,                 2.1509,                0.59243,                0.44534,                0.46664,                0.25702,                 1.8454,                 2.4719,                 2.2965,              0.0018416,              0.0018416,              0.0018416
                     12,                  1.733,                 2.3187,                 2.1263,                0.65692,                 0.4332,                 0.4849,                0.24809,                 1.7412,                 2.5811,                 2.2036,              0.0018258,              0.0018258,              0.0018258
                     13,                 1.7174,                 2.3401,                 2.0981,                0.75234,                0.46964,                0.52903,                0.27778,                 1.7335,                 2.2981,                 2.2148,              0.0018099,              0.0018099,              0.0018099
                     14,                 1.6876,                 2.2727,                 2.0852,                0.64895,                0.46559,                0.49424,                0.25547,                 1.7952,                 2.6611,                 2.2795,              0.0017941,              0.0017941,              0.0017941
                     15,                 1.6617,                 2.2488,                 2.0697,                 0.6776,                0.47773,                0.49826,                0.25829,                 1.8261,                 2.6707,                 2.3635,              0.0017782,              0.0017782,              0.0017782
                     16,                 1.6584,                 2.2233,                 2.0574,                0.73433,                   0.47,                  0.521,                0.28192,                  1.807,                 2.1751,                  2.279,              0.0017624,              0.0017624,              0.0017624
                     17,                  1.627,                 2.2169,                 2.0203,                 0.7856,                0.44504,                0.51273,                0.28681,                 1.7279,                 2.2392,                 2.2258,              0.0017466,              0.0017466,              0.0017466
                     18,                  1.618,                 2.1746,                  2.015,                 0.6624,                0.51822,                0.53912,                0.30736,                 1.7646,                 2.1155,                 2.1877,              0.0017307,              0.0017307,              0.0017307
                     19,                 1.6157,                 2.1939,                 2.0062,                0.79564,                0.45712,                0.52722,                0.29657,                 1.6499,                 2.3322,                 2.0901,              0.0017149,              0.0017149,              0.0017149
                     20,                 1.6217,                  2.143,                 1.9993,                0.76289,                0.53409,                0.56011,                0.33178,                 1.6755,                 2.0141,                  2.135,               0.001699,               0.001699,               0.001699
                     21,                  1.612,                 2.1699,                 2.0016,                 0.7395,                0.54017,                0.56123,                0.31421,                 1.7587,                 1.9621,                  2.206,              0.0016832,              0.0016832,              0.0016832
                     22,                  1.585,                 2.1275,                 1.9899,                0.74636,                0.52632,                0.56566,                 0.3176,                 1.7446,                 1.9394,                 2.1636,              0.0016674,              0.0016674,              0.0016674
                     23,                 1.5817,                  2.108,                 1.9739,                0.77142,                0.53441,                 0.5782,                0.32491,                 1.6658,                 2.0065,                 2.2019,              0.0016515,              0.0016515,              0.0016515
                     24,                 1.5717,                 2.1517,                  1.961,                0.79323,                0.52632,                0.57069,                0.31541,                 1.7161,                 1.9182,                 2.2296,              0.0016357,              0.0016357,              0.0016357
                     25,                 1.5578,                 2.0838,                 1.9566,                0.83905,                0.52767,                0.58068,                0.31426,                 1.7382,                 1.8693,                 2.1851,              0.0016198,              0.0016198,              0.0016198
                     26,                 1.5548,                  2.097,                 1.9503,                0.70502,                0.53036,                0.56823,                0.33023,                    1.7,                 1.9542,                 2.1339,               0.001604,               0.001604,               0.001604
                     27,                 1.5238,                 2.0541,                 1.9254,                0.87715,                0.52032,                0.57663,                0.34185,                 1.6223,                 1.9788,                 2.0684,              0.0015882,              0.0015882,              0.0015882
                     28,                 1.5233,                 2.0128,                 1.9042,                0.89831,                0.50071,                0.60407,                0.35063,                  1.553,                 1.8554,                 2.0251,              0.0015723,              0.0015723,              0.0015723
                     29,                 1.5264,                 2.0284,                 1.9202,                 0.7936,                0.54251,                0.57497,                0.33895,                 1.6423,                 2.0302,                 2.1058,              0.0015565,              0.0015565,              0.0015565
                     30,                  1.519,                 2.0089,                 1.9056,                0.80872,                0.54656,                0.58069,                0.32831,                 1.6227,                  1.912,                 2.0926,              0.0015406,              0.0015406,              0.0015406
                     31,                 1.5103,                 1.9953,                 1.9076,                 0.8265,                0.53846,                0.57647,                0.34396,                 1.5981,                  1.905,                 2.0407,              0.0015248,              0.0015248,              0.0015248
                     32,                 1.4998,                 1.9744,                 1.9028,                0.82228,                0.54324,                0.59606,                0.35005,                 1.5959,                 1.7793,                 2.0553,               0.001509,               0.001509,               0.001509
                     33,                 1.4917,                 1.9473,                 1.8861,                 0.8356,                0.53441,                0.59554,                0.35153,                 1.5609,                 1.7713,                 2.0363,              0.0014931,              0.0014931,              0.0014931
                     34,                 1.5016,                 1.9565,                 1.8939,                0.78761,                0.57053,                0.59434,                0.35215,                 1.6294,                 1.7079,                 2.0804,              0.0014773,              0.0014773,              0.0014773
                     35,                 1.4734,                  1.933,                  1.873,                0.82487,                0.53846,                0.59405,                  0.354,                 1.5103,                 1.7646,                 1.9746,              0.0014614,              0.0014614,              0.0014614
                     36,                 1.4754,                 1.9394,                 1.8738,                0.82696,                0.57085,                0.61424,                0.36644,                 1.5379,                 1.6771,                 2.0311,              0.0014456,              0.0014456,              0.0014456
                     37,                 1.4818,                 1.9391,                 1.8778,                0.76159,                0.56275,                0.59141,                0.36085,                  1.579,                 1.6847,                  2.008,              0.0014298,              0.0014298,              0.0014298
                     38,                 1.4699,                 1.9119,                 1.8581,                 0.7892,                0.57597,                0.60052,                0.35317,                 1.5173,                  1.815,                 1.9841,              0.0014139,              0.0014139,              0.0014139
                     39,                  1.472,                  1.886,                 1.8668,                0.85696,                0.53362,                0.61743,                 0.3685,                  1.569,                 1.6269,                 2.0166,              0.0013981,              0.0013981,              0.0013981
                     40,                 1.4478,                 1.8868,                 1.8382,                0.85893,                0.54231,                0.60358,                0.36284,                 1.5579,                 1.6243,                 2.0069,              0.0013822,              0.0013822,              0.0013822
                     41,                 1.4402,                 1.8543,                 1.8417,                0.82818,                 0.5659,                0.62053,                0.37946,                 1.5346,                 1.6592,                 1.9746,              0.0013664,              0.0013664,              0.0013664
                     42,                 1.4403,                 1.8571,                 1.8374,                0.85632,                0.55498,                0.62706,                0.37472,                 1.5689,                 1.5941,                 2.0067,              0.0013506,              0.0013506,              0.0013506
                     43,                 1.4541,                 1.8709,                 1.8419,                0.88466,                0.55061,                0.63289,                0.37865,                 1.5283,                 1.5727,                 1.9999,              0.0013347,              0.0013347,              0.0013347
                     44,                 1.4319,                  1.833,                 1.8345,                0.85643,                0.54656,                0.62505,                0.38093,                  1.529,                 1.6612,                  2.021,              0.0013189,              0.0013189,              0.0013189
                     45,                 1.4389,                 1.8294,                 1.8335,                0.85477,                0.54804,                0.62523,                0.37871,                 1.4739,                 1.5791,                 1.9302,               0.001303,               0.001303,               0.001303
                     46,                 1.4156,                 1.8249,                  1.827,                0.84721,                0.56122,                0.63389,                0.38321,                 1.4881,                 1.5494,                 1.9488,              0.0012872,              0.0012872,              0.0012872
                     47,                 1.4087,                 1.8251,                 1.8181,                0.82856,                0.58702,                0.63455,                0.38732,                 1.5296,                 1.5334,                 2.0016,              0.0012714,              0.0012714,              0.0012714
                     48,                 1.4017,                 1.7937,                 1.8135,                0.82041,                0.57333,                0.63412,                0.39616,                 1.4746,                  1.485,                 1.9362,              0.0012555,              0.0012555,              0.0012555
                     49,                 1.3966,                 1.7803,                 1.7948,                0.79225,                0.58668,                0.63585,                0.39156,                 1.4744,                  1.558,                 1.9413,              0.0012397,              0.0012397,              0.0012397
                     50,                  1.402,                 1.7814,                 1.7927,                0.87206,                0.55061,                0.63618,                0.39505,                 1.5073,                 1.4889,                 1.9364,              0.0012238,              0.0012238,              0.0012238
                     51,                 1.3865,                 1.7844,                 1.7903,                0.86619,                0.57085,                0.64597,                0.39275,                 1.4881,                 1.5057,                 1.9198,               0.001208,               0.001208,               0.001208
                     52,                 1.4064,                 1.7731,                 1.8027,                0.85247,                 0.5668,                0.63072,                0.39382,                 1.5029,                 1.4753,                 1.9243,              0.0011922,              0.0011922,              0.0011922
                     53,                 1.3822,                  1.775,                 1.7882,                0.83147,                0.57085,                0.64855,                0.40076,                 1.4616,                 1.5027,                 1.8879,              0.0011763,              0.0011763,              0.0011763
                     54,                 1.3751,                 1.7481,                  1.778,                0.79461,                 0.5952,                0.64158,                0.39768,                 1.4625,                 1.4748,                 1.9122,              0.0011605,              0.0011605,              0.0011605
                     55,                 1.3465,                  1.716,                 1.7536,                0.85247,                0.57895,                0.64594,                 0.4007,                 1.4857,                 1.4823,                 1.8962,              0.0011446,              0.0011446,              0.0011446
                     56,                  1.368,                 1.7489,                 1.7831,                 0.8025,                0.59514,                0.65409,                 0.4055,                 1.4359,                 1.4668,                 1.8866,              0.0011288,              0.0011288,              0.0011288
                     57,                 1.3792,                 1.7655,                 1.7792,                0.82538,                0.59323,                0.65131,                0.39904,                 1.4953,                 1.4997,                 1.8925,               0.001113,               0.001113,               0.001113
                     58,                  1.367,                 1.7392,                 1.7758,                0.85536,                0.57085,                0.64483,                0.39072,                 1.5013,                 1.4647,                 1.9214,              0.0010971,              0.0010971,              0.0010971
                     59,                 1.3398,                 1.6859,                 1.7473,                0.80576,                0.59109,                 0.6477,                 0.3985,                 1.4596,                 1.4286,                 1.9028,              0.0010813,              0.0010813,              0.0010813
                     60,                 1.3527,                  1.733,                 1.7581,                0.85831,                 0.5886,                0.65499,                0.40342,                 1.4237,                 1.4437,                 1.8712,              0.0010654,              0.0010654,              0.0010654
                     61,                 1.3527,                 1.7011,                 1.7555,                0.86914,                0.59109,                0.65672,                0.41612,                 1.4489,                 1.4257,                 1.8596,              0.0010496,              0.0010496,              0.0010496
                     62,                 1.3602,                 1.7291,                 1.7601,                 0.8606,                 0.5749,                0.65933,                0.41695,                 1.4571,                 1.3905,                 1.8976,              0.0010338,              0.0010338,              0.0010338
                     63,                 1.3446,                 1.7005,                  1.754,                0.84725,                0.60631,                0.67488,                0.40167,                 1.4667,                 1.4033,                 1.9398,              0.0010179,              0.0010179,              0.0010179
                     64,                 1.3515,                 1.6907,                 1.7551,                0.87911,                0.59109,                  0.665,                0.40786,                 1.4103,                 1.3776,                 1.8783,              0.0010021,              0.0010021,              0.0010021
                     65,                 1.3112,                 1.6648,                  1.728,                0.90621,                  0.583,                0.66361,                0.41396,                 1.4387,                   1.37,                 1.8661,             0.00098624,             0.00098624,             0.00098624
                     66,                 1.3352,                 1.6862,                 1.7484,                0.84664,                0.60346,                0.66634,                0.41105,                 1.4064,                 1.3478,                  1.861,              0.0009704,              0.0009704,              0.0009704
                     67,                 1.3581,                 1.6826,                 1.7561,                0.84367,                0.61943,                0.67076,                0.41252,                 1.4421,                 1.3703,                 1.8607,             0.00095456,             0.00095456,             0.00095456
                     68,                 1.3296,                 1.6579,                 1.7432,                0.86201,                0.59919,                0.67759,                0.42154,                 1.4319,                  1.347,                 1.8453,             0.00093872,             0.00093872,             0.00093872
                     69,                 1.3219,                 1.6533,                 1.7325,                0.84177,                0.61538,                0.67904,                0.42267,                 1.4108,                 1.3255,                  1.848,             0.00092288,             0.00092288,             0.00092288
                     70,                 1.3259,                  1.641,                 1.7369,                 0.8875,                0.59514,                0.68059,                0.41913,                 1.4508,                 1.3398,                  1.848,             0.00090704,             0.00090704,             0.00090704
                     71,                 1.3393,                 1.6563,                 1.7477,                0.87658,                0.59109,                0.66705,                 0.4177,                 1.4314,                  1.323,                  1.852,              0.0008912,              0.0008912,              0.0008912
                     72,                 1.3039,                  1.614,                 1.7096,                 0.8823,                0.61134,                0.68609,                0.42503,                 1.4358,                 1.3015,                 1.8468,             0.00087536,             0.00087536,             0.00087536
                     73,                 1.3319,                 1.6592,                 1.7365,                0.83688,                0.61538,                0.68407,                0.42464,                 1.3986,                 1.2829,                 1.8453,             0.00085952,             0.00085952,             0.00085952
                     74,                 1.3151,                 1.6368,                 1.7236,                0.86396,                0.61538,                0.68915,                0.42646,                 1.4175,                 1.3441,                 1.8252,             0.00084368,             0.00084368,             0.00084368
                     75,                 1.3018,                   1.59,                 1.7147,                0.82356,                0.64251,                0.68826,                0.43022,                 1.4115,                 1.3001,                 1.8407,             0.00082784,             0.00082784,             0.00082784
                     76,                 1.3172,                 1.6263,                 1.7226,                0.79206,                0.62753,                 0.6745,                0.42919,                 1.4383,                 1.3434,                 1.8434,               0.000812,               0.000812,               0.000812
                     77,                 1.2899,                 1.5825,                 1.7064,                0.89012,                 0.5749,                0.67868,                0.42118,                 1.4501,                 1.3225,                 1.8353,             0.00079616,             0.00079616,             0.00079616
                     78,                 1.2977,                 1.5939,                 1.7036,                0.88491,                0.61134,                0.68779,                0.42354,                 1.4176,                 1.2939,                 1.8349,             0.00078032,             0.00078032,             0.00078032
                     79,                 1.2983,                  1.599,                 1.7145,                0.84704,                0.62348,                0.68663,                0.42611,                 1.4385,                 1.2547,                 1.8405,             0.00076448,             0.00076448,             0.00076448
                     80,                  1.288,                 1.5834,                 1.7108,                0.89205,                0.60729,                0.68722,                0.43626,                 1.4035,                 1.2629,                 1.8048,             0.00074864,             0.00074864,             0.00074864
                     81,                  1.296,                 1.6031,                 1.6997,                0.85251,                0.61538,                0.68536,                 0.4327,                 1.4163,                 1.2846,                 1.8098,              0.0007328,              0.0007328,              0.0007328
                     82,                 1.2722,                 1.5631,                  1.692,                0.89334,                0.61038,                0.68973,                0.42828,                 1.4313,                 1.2857,                 1.8138,             0.00071696,             0.00071696,             0.00071696
                     83,                 1.2556,                 1.5701,                 1.6779,                0.89544,                0.61134,                0.70041,                0.42714,                 1.4315,                 1.2515,                 1.8244,             0.00070112,             0.00070112,             0.00070112
                     84,                 1.2763,                 1.5711,                  1.687,                 0.8725,                0.61943,                0.70536,                0.43942,                 1.3879,                 1.2457,                 1.7836,             0.00068528,             0.00068528,             0.00068528
                     85,                 1.2556,                 1.5333,                 1.6769,                0.87335,                0.61422,                0.69994,                0.43991,                 1.3823,                 1.2214,                 1.7835,             0.00066944,             0.00066944,             0.00066944
                     86,                 1.2625,                 1.5448,                 1.6787,                 0.8505,                0.63563,                0.70108,                0.44832,                 1.3728,                 1.2247,                 1.7743,              0.0006536,              0.0006536,              0.0006536
                     87,                 1.2606,                 1.5468,                 1.6822,                0.84004,                0.63968,                0.70628,                0.44991,                 1.3751,                 1.2262,                 1.7887,             0.00063776,             0.00063776,             0.00063776
                     88,                 1.2431,                 1.5167,                 1.6599,                0.83867,                 0.6314,                0.69318,                0.44486,                 1.3928,                 1.2182,                 1.7864,             0.00062192,             0.00062192,             0.00062192
                     89,                 1.2435,                 1.5357,                 1.6595,                0.87814,                0.60729,                0.69055,                0.43828,                  1.399,                 1.2402,                 1.7929,             0.00060608,             0.00060608,             0.00060608
                     90,                 1.2408,                 1.5474,                 1.6573,                 0.8926,                0.60568,                 0.6984,                0.45312,                 1.3694,                 1.2331,                 1.7737,             0.00059024,             0.00059024,             0.00059024
                     91,                 1.2426,                 1.5218,                 1.6635,                0.92623,                0.60324,                0.70782,                0.45966,                 1.3831,                 1.1916,                 1.7732,              0.0005744,              0.0005744,              0.0005744
                     92,                 1.2353,                  1.525,                 1.6584,                0.91017,                0.61534,                0.71196,                0.45478,                 1.4076,                 1.1879,                 1.7837,             0.00055856,             0.00055856,             0.00055856
                     93,                 1.2474,                 1.5217,                 1.6572,                0.84701,                0.64372,                0.70555,                0.45418,                 1.4011,                 1.1779,                 1.7843,             0.00054272,             0.00054272,             0.00054272
                     94,                 1.2444,                 1.5129,                 1.6622,                0.87825,                0.64254,                0.70331,                0.45065,                  1.397,                 1.1963,                 1.7883,             0.00052688,             0.00052688,             0.00052688
                     95,                 1.2476,                 1.5294,                  1.661,                0.86146,                0.63158,                0.70105,                 0.4473,                 1.3907,                 1.1992,                 1.7775,             0.00051104,             0.00051104,             0.00051104
                     96,                 1.2413,                 1.5058,                  1.668,                0.87964,                0.62348,                 0.7125,                0.45531,                 1.3871,                 1.1622,                 1.7797,              0.0004952,              0.0004952,              0.0004952
                     97,                 1.2344,                 1.5138,                 1.6518,                0.84554,                0.66489,                0.71439,                0.45777,                 1.3938,                 1.1766,                 1.7723,             0.00047936,             0.00047936,             0.00047936
                     98,                 1.2208,                 1.4806,                 1.6574,                0.88253,                0.63876,                0.71359,                0.45783,                 1.3938,                 1.1555,                 1.7789,             0.00046352,             0.00046352,             0.00046352
                     99,                 1.2077,                 1.4905,                 1.6408,                0.85905,                0.64777,                0.71206,                0.46065,                 1.3766,                 1.1553,                 1.7735,             0.00044768,             0.00044768,             0.00044768
                    100,                 1.2194,                 1.4794,                 1.6485,                 0.8888,                0.64719,                0.71901,                0.46525,                 1.3809,                 1.1524,                 1.7642,             0.00043184,             0.00043184,             0.00043184
                    101,                 1.2118,                 1.4711,                 1.6432,                0.91278,                0.63551,                0.71638,                0.46159,                 1.3998,                 1.1506,                 1.7847,               0.000416,               0.000416,               0.000416
                    102,                 1.2247,                 1.4822,                 1.6432,                0.92335,                  0.634,                0.72471,                0.46327,                 1.3832,                 1.1349,                 1.7706,             0.00040016,             0.00040016,             0.00040016
                    103,                 1.2194,                 1.4863,                 1.6484,                0.89448,                0.63563,                0.72054,                 0.4642,                 1.3757,                 1.1485,                 1.7708,             0.00038432,             0.00038432,             0.00038432
                    104,                 1.2165,                 1.4665,                 1.6369,                0.88773,                0.64024,                 0.7203,                0.46638,                  1.358,                 1.1291,                 1.7584,             0.00036848,             0.00036848,             0.00036848
                    105,                 1.1891,                 1.4326,                 1.6171,                0.84377,                0.65992,                0.72613,                 0.4641,                 1.3664,                 1.1264,                 1.7591,             0.00035264,             0.00035264,             0.00035264
                    106,                 1.1924,                 1.4312,                 1.6238,                 0.9196,                 0.6483,                0.72754,                0.46417,                 1.3573,                 1.1272,                 1.7547,              0.0003368,              0.0003368,              0.0003368
                    107,                 1.1841,                 1.4587,                 1.6184,                0.90924,                0.63968,                0.72464,                0.46465,                  1.351,                 1.1372,                 1.7515,             0.00032096,             0.00032096,             0.00032096
                    108,                 1.1869,                  1.445,                 1.6276,                0.90267,                0.63834,                0.71751,                 0.4692,                 1.3469,                 1.1467,                 1.7493,             0.00030512,             0.00030512,             0.00030512
