                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4104,                 4.4299,                 4.1592,                0.00931,                0.03333,                0.00491,                0.00144,                 2.4732,                  47.69,                 3.3102,              0.0033265,              0.0033265,              0.0033265
                      2,                 3.0262,                 3.6947,                 3.5905,                0.02305,                0.06061,                0.00883,                 0.0024,                 2.5275,                  5.327,                 3.4063,              0.0066091,              0.0066091,              0.0066091
                      3,                 2.5226,                 3.3011,                 2.9829,                0.06085,                0.15758,                0.03459,                0.00991,                 2.1524,                 10.423,                 2.7279,               0.009841,               0.009841,               0.009841
                      4,                 2.1784,                 2.9717,                 2.5675,                0.35263,                0.28485,                0.25327,                0.11974,                 2.0264,                 8.9967,                  2.427,              0.0097715,              0.0097715,              0.0097715
                      5,                 1.9743,                 2.7743,                 2.3539,                0.39284,                 0.2697,                0.25066,                0.10883,                 1.9316,                 8.1786,                  2.291,              0.0097715,              0.0097715,              0.0097715
                      6,                  1.906,                 2.6393,                 2.2538,                0.42561,                0.30909,                0.27055,                0.11746,                 1.9987,                 4.7183,                 2.3844,              0.0096954,              0.0096954,              0.0096954
                      7,                 1.8372,                 2.5527,                  2.184,                0.48409,                0.37576,                0.33305,                0.16491,                 1.7704,                  2.856,                 2.2233,              0.0096192,              0.0096192,              0.0096192
                      8,                 1.7837,                 2.4807,                  2.133,                0.71579,                0.37397,                 0.4387,                0.22619,                 1.6906,                 2.7519,                 2.0842,              0.0095431,              0.0095431,              0.0095431
                      9,                 1.7076,                 2.3985,                 2.0677,                0.65958,                0.37273,                 0.4201,                0.22855,                  1.662,                 3.0227,                 2.0575,              0.0094669,              0.0094669,              0.0094669
                     10,                 1.6873,                 2.3803,                  2.038,                0.62137,                0.45152,                0.45692,                0.23813,                  1.642,                 4.4732,                 2.0163,              0.0093908,              0.0093908,              0.0093908
                     11,                 1.6763,                 2.3409,                 2.0096,                0.72539,                0.44827,                0.48013,                0.24538,                 1.6338,                  2.197,                 2.0192,              0.0093146,              0.0093146,              0.0093146
                     12,                 1.6419,                 2.2997,                 1.9937,                0.70681,                0.44242,                0.49444,                0.24936,                 1.6142,                 4.1667,                 1.9458,              0.0092385,              0.0092385,              0.0092385
